# u v x y z
3.599999904632568359e+00 -5.000000000000000000e+00 2.821814775466918945e+00 -4.222750067710876465e+00 7.226928472518920898e-01
3.799999952316284180e+00 -5.000000000000000000e+00 2.990126729011535645e+00 -4.190928578376770020e+00 6.194501519203186035e-01
4.000000000000000000e+00 -5.000000000000000000e+00 3.158438205718994141e+00 -4.159106850624084473e+00 5.162085294723510742e-01
4.199999809265136719e+00 -5.000000000000000000e+00 3.326750218868255615e+00 -4.127285122871398926e+00 4.129668474197387695e-01
4.400000095367431641e+00 -5.000000000000000000e+00 3.495061814785003662e+00 -4.095462918281555176e+00 3.097261786460876465e-01
4.599999904632568359e+00 -5.000000000000000000e+00 3.663374364376068115e+00 -4.063641607761383057e+00 2.064843922853469849e-01
4.800000190734863281e+00 -5.000000000000000000e+00 3.831685304641723633e+00 -4.031819105148315430e+00 1.032448634505271912e-01
5.000000000000000000e+00 -4.800000190734863281e+00 4.031657516956329346e+00 -3.831790804862976074e+00 1.034661978483200073e-01
5.000000000000000000e+00 -4.599999904632568359e+00 4.063318490982055664e+00 -3.663585305213928223e+00 2.069270461797714233e-01
5.000000000000000000e+00 -4.400000095367431641e+00 4.094978272914886475e+00 -3.495378315448760986e+00 3.103901445865631104e-01
5.000000000000000000e+00 -4.199999809265136719e+00 4.126638948917388916e+00 -3.327172160148620605e+00 4.138521552085876465e-01
5.000000000000000000e+00 -4.000000000000000000e+00 4.158299088478088379e+00 -3.158965587615966797e+00 5.173152089118957520e-01
5.000000000000000000e+00 -3.799999952316284180e+00 4.189959347248077393e+00 -2.990759551525115967e+00 6.207781434059143066e-01
5.000000000000000000e+00 -3.599999904632568359e+00 4.221619307994842529e+00 -2.822553217411041260e+00 7.242420315742492676e-01
5.000000000000000000e+00 -3.400000095367431641e+00 4.253278613090515137e+00 -2.654347598552703857e+00 8.277063369750976562e-01
5.000000000000000000e+00 -3.200000047683715820e+00 4.284937500953674316e+00 -2.486141562461853027e+00 9.311719536781311035e-01
-3.142857074737548828e+00 -4.857142925262451172e+00 -2.462871909141540527e+00 -4.176587879657745361e+00 1.037048339843750000e+00
-3.285714387893676758e+00 -4.714285850524902344e+00 -2.605664908885955811e+00 -4.033668637275695801e+00 1.036883115768432617e+00
-3.428571462631225586e+00 -4.571428775787353516e+00 -2.748457789421081543e+00 -3.890748560428619385e+00 1.036719441413879395e+00
-3.571428537368774414e+00 -4.428571224212646484e+00 -2.891250610351562500e+00 -3.747828304767608643e+00 1.036556482315063477e+00
-3.714285612106323242e+00 -4.285714149475097656e+00 -3.034043252468109131e+00 -3.604907989501953125e+00 1.036394357681274414e+00
-3.857142925262451172e+00 -4.142857074737548828e+00 -3.176836431026458740e+00 -3.461987912654876709e+00 1.036232352256774902e+00
-4.000000000000000000e+00 -4.000000000000000000e+00 -3.319629251956939697e+00 -3.319067656993865967e+00 1.036071419715881348e+00
-4.142857074737548828e+00 -3.857142925262451172e+00 -3.462422370910644531e+00 -3.176147818565368652e+00 1.035910487174987793e+00
-4.285714149475097656e+00 -3.714285612106323242e+00 -3.605215370655059814e+00 -3.033227503299713135e+00 1.035750746726989746e+00
-4.428571224212646484e+00 -3.571428537368774414e+00 -3.748008608818054199e+00 -2.890307784080505371e+00 1.035591006278991699e+00
-4.571428775787353516e+00 -3.428571462631225586e+00 -3.890801727771759033e+00 -2.747388005256652832e+00 1.035432100296020508e+00
-4.714285850524902344e+00 -3.285714387893676758e+00 -4.033594667911529541e+00 -2.604467868804931641e+00 1.035274147987365723e+00
-4.857142925262451172e+00 -3.142857074737548828e+00 -4.176386713981628418e+00 -2.461547970771789551e+00 1.035117387771606445e+00
-5.000000000000000000e+00 -3.200000047683715820e+00 -4.287263572216033936e+00 -2.486760735511779785e+00 9.314635992050170898e-01
-5.000000000000000000e+00 -3.400000095367431641e+00 -4.255346298217773438e+00 -2.654898047447204590e+00 8.279655575752258301e-01
-5.000000000000000000e+00 -3.599999904632568359e+00 -4.223428428173065186e+00 -2.823034822940826416e+00 7.244688272476196289e-01
-5.000000000000000000e+00 -3.799999952316284180e+00 -4.191510081291198730e+00 -2.991172492504119873e+00 6.209724545478820801e-01
-5.000000000000000000e+00 -4.000000000000000000e+00 -4.159591436386108398e+00 -3.159309685230255127e+00 5.174770951271057129e-01
-5.000000000000000000e+00 -4.199999809265136719e+00 -4.127672791481018066e+00 -3.327447414398193359e+00 4.139817059040069580e-01
-5.000000000000000000e+00 -4.400000095367431641e+00 -4.095753669738769531e+00 -3.495584785938262939e+00 3.104872703552246094e-01
-5.000000000000000000e+00 -4.599999904632568359e+00 -4.063835442066192627e+00 -3.663722991943359375e+00 2.069917768239974976e-01
-5.000000000000000000e+00 -4.800000190734863281e+00 -4.031916081905364990e+00 -3.831859648227691650e+00 1.034984961152076721e-01
-4.800000190734863281e+00 -5.000000000000000000e+00 -3.832004785537719727e+00 -4.031948864459991455e+00 1.037237867712974548e-01
-4.599999904632568359e+00 -5.000000000000000000e+00 -3.664013206958770752e+00 -4.063901066780090332e+00 2.074423581361770630e-01
-4.400000095367431641e+00 -5.000000000000000000e+00 -3.496020138263702393e+00 -4.095852077007293701e+00 3.111631274223327637e-01
-4.199999809265136719e+00 -5.000000000000000000e+00 -3.328027844429016113e+00 -4.127804040908813477e+00 4.148828387260437012e-01
-4.000000000000000000e+00 -5.000000000000000000e+00 -3.160035252571105957e+00 -4.159755408763885498e+00 5.186035633087158203e-01
-3.799999952316284180e+00 -5.000000000000000000e+00 -2.992043137550354004e+00 -4.191706895828247070e+00 6.223241686820983887e-01
-3.599999904632568359e+00 -5.000000000000000000e+00 -2.824050724506378174e+00 -4.223658144474029541e+00 7.260457277297973633e-01
-3.400000095367431641e+00 -5.000000000000000000e+00 -2.656059026718139648e+00 -4.255608737468719482e+00 8.297677040100097656e-01
-3.200000047683715820e+00 -5.000000000000000000e+00 -2.488066911697387695e+00 -4.287558913230895996e+00 9.334909319877624512e-01
-2.799999952316284180e+00 -5.000000000000000000e+00 -2.158624112606048584e+00 -4.338896155357360840e+00 1.189412355422973633e+00
-2.599999904632568359e+00 -5.000000000000000000e+00 -2.008117496967315674e+00 -4.375595867633819580e+00 1.334431409835815430e+00
-2.400000095367431641e+00 -5.000000000000000000e+00 -1.867592155933380127e+00 -4.416207551956176758e+00 1.481632351875305176e+00
-2.200000047683715820e+00 -5.000000000000000000e+00 -1.732659816741943359e+00 -4.460059165954589844e+00 1.630457043647766113e+00
-2.000000000000000000e+00 -5.000000000000000000e+00 -1.601910769939422607e+00 -4.505468636751174927e+00 1.780691862106323242e+00
-1.799999952316284180e+00 -5.000000000000000000e+00 -1.473303318023681641e+00 -4.551453530788421631e+00 1.931191325187683105e+00
-1.600000023841857910e+00 -5.000000000000000000e+00 -1.344452232122421265e+00 -4.597103685140609741e+00 2.080482006072998047e+00
-1.399999976158142090e+00 -5.000000000000000000e+00 -1.212332502007484436e+00 -4.641537040472030640e+00 2.226599931716918945e+00
-1.200000047683715820e+00 -5.000000000000000000e+00 -1.073633790016174316e+00 -4.683787286281585693e+00 2.366916179656982422e+00
-1.000000000000000000e+00 -5.000000000000000000e+00 -9.250988885760307312e-01 -4.722811013460159302e+00 2.497970819473266602e+00
-8.000000119209289551e-01 -5.000000000000000000e+00 -7.641417831182479858e-01 -4.757420808076858521e+00 2.615471124649047852e+00
-6.000000238418579102e-01 -5.000000000000000000e+00 -5.895535619929432869e-01 -4.786312043666839600e+00 2.714488029479980469e+00
-4.000000059604644775e-01 -5.000000000000000000e+00 -4.019765357952564955e-01 -4.808138340711593628e+00 2.789880752563476562e+00
-2.000000029802322388e-01 -5.000000000000000000e+00 -2.041836283169686794e-01 -4.821673631668090820e+00 2.837052583694458008e+00
0.000000000000000000e+00 -5.000000000000000000e+00 -7.977309287525713444e-04 -4.826052367687225342e+00 2.852801561355590820e+00
2.000000029802322388e-01 -5.000000000000000000e+00 2.024417908396571875e-01 -4.821025833487510681e+00 2.836092472076416016e+00
4.000000059604644775e-01 -5.000000000000000000e+00 3.999731130988948280e-01 -4.806905642151832581e+00 2.788262844085693359e+00
6.000000238418579102e-01 -5.000000000000000000e+00 5.871604690328240395e-01 -4.784544810652732849e+00 2.712208271026611328e+00
8.000000119209289551e-01 -5.000000000000000000e+00 7.613084688782691956e-01 -4.755211472511291504e+00 2.612657546997070312e+00
1.000000000000000000e+00 -5.000000000000000000e+00 9.218906387686729431e-01 -4.720334678888320923e+00 2.494865417480468750e+00
1.200000047683715820e+00 -5.000000000000000000e+00 1.070122331380844116e+00 -4.681098133325576782e+00 2.363593101501464844e+00
1.399999976158142090e+00 -5.000000000000000000e+00 1.208597525954246521e+00 -4.638719916343688965e+00 2.223204135894775391e+00
1.600000023841857910e+00 -5.000000000000000000e+00 1.340524047613143921e+00 -4.594266206026077271e+00 2.077023267745971680e+00
1.799999952316284180e+00 -5.000000000000000000e+00 1.469290316104888916e+00 -4.548666834831237793e+00 1.927739620208740234e+00
2.000000000000000000e+00 -5.000000000000000000e+00 1.597908586263656616e+00 -4.502810090780258179e+00 1.777368664741516113e+00
2.200000047683715820e+00 -5.000000000000000000e+00 1.728728204965591431e+00 -4.457659006118774414e+00 1.627302169799804688e+00
2.400000095367431641e+00 -5.000000000000000000e+00 1.863825380802154541e+00 -4.413999676704406738e+00 1.478632330894470215e+00
2.599999904632568359e+00 -5.000000000000000000e+00 2.003945112228393555e+00 -4.374117076396942139e+00 1.331363201141357422e+00
2.799999952316284180e+00 -5.000000000000000000e+00 2.154631674289703369e+00 -4.337419569492340088e+00 1.186808347702026367e+00
5.000000000000000000e+00 -2.799999952316284180e+00 4.336377024650573730e+00 -2.157149195671081543e+00 1.185562968254089355e+00
5.000000000000000000e+00 -2.599999904632568359e+00 4.372319579124450684e+00 -2.006114780902862549e+00 1.332518577575683594e+00
5.000000000000000000e+00 -2.400000095367431641e+00 4.412387609481811523e+00 -1.865162909030914307e+00 1.480048418045043945e+00
5.000000000000000000e+00 -2.200000047683715820e+00 4.455851256847381592e+00 -1.730162501335144043e+00 1.629040002822875977e+00
5.000000000000000000e+00 -2.000000000000000000e+00 4.500866591930389404e+00 -1.599347174167633057e+00 1.779208540916442871e+00
5.000000000000000000e+00 -1.799999952316284180e+00 4.546558141708374023e+00 -1.470703184604644775e+00 1.929639339447021484e+00
5.000000000000000000e+00 -1.600000023841857910e+00 4.591975808143615723e+00 -1.341838985681533813e+00 2.078934431076049805e+00
5.000000000000000000e+00 -1.399999976158142090e+00 4.636237651109695435e+00 -1.209819853305816650e+00 2.225151538848876953e+00
5.000000000000000000e+00 -1.200000047683715820e+00 4.678405404090881348e+00 -1.071344077587127686e+00 2.365660667419433594e+00
5.000000000000000000e+00 -1.000000000000000000e+00 4.717444390058517456e+00 -9.231280013918876648e-01 2.497013092041015625e+00
5.000000000000000000e+00 -8.000000119209289551e-01 4.752180233597755432e+00 -7.625459432601928711e-01 2.614916086196899414e+00
5.000000000000000000e+00 -6.000000238418579102e-01 4.781293079257011414e+00 -5.882842103019356728e-01 2.714373588562011719e+00
5.000000000000000000e+00 -4.000000059604644775e-01 4.803416773676872253e+00 -4.009980201954022050e-01 2.790268659591674805e+00
5.000000000000000000e+00 -2.000000029802322388e-01 4.817294880747795105e+00 -2.033978202380239964e-01 2.837803602218627930e+00
5.000000000000000000e+00 0.000000000000000000e+00 4.822089031338691711e+00 -1.805349165806546807e-04 2.853922128677368164e+00
5.000000000000000000e+00 2.000000029802322388e-01 4.817482694983482361e+00 2.030772073194384575e-01 2.838012218475341797e+00
5.000000000000000000e+00 4.000000059604644775e-01 4.803803771734237671e+00 4.007616881863214076e-01 2.790709733963012695e+00
5.000000000000000000e+00 6.000000238418579102e-01 4.781856328248977661e+00 5.881444737315177917e-01 2.714979410171508789e+00
5.000000000000000000e+00 8.000000119209289551e-01 4.752910628914833069e+00 7.625202052295207977e-01 2.615689754486083984e+00
5.000000000000000000e+00 1.000000000000000000e+00 4.718323945999145508e+00 9.232709556818008423e-01 2.497959613800048828e+00
5.000000000000000000e+00 1.200000047683715820e+00 4.679396778345108032e+00 1.071695998311042786e+00 2.366781473159790039e+00
5.000000000000000000e+00 1.399999976158142090e+00 4.637283831834793091e+00 1.210356622934341431e+00 2.226401805877685547e+00
5.000000000000000000e+00 1.600000023841857910e+00 4.593031346797943115e+00 1.342470586299896240e+00 2.080256700515747070e+00
5.000000000000000000e+00 1.799999952316284180e+00 4.547612786293029785e+00 1.471427559852600098e+00 1.931022763252258301e+00
5.000000000000000000e+00 2.000000000000000000e+00 4.501863509416580200e+00 1.600004136562347412e+00 1.780580401420593262e+00
5.000000000000000000e+00 2.200000047683715820e+00 4.456901788711547852e+00 1.730805754661560059e+00 1.630392074584960938e+00
5.000000000000000000e+00 2.400000095367431641e+00 4.413523256778717041e+00 1.866390764713287354e+00 1.481343984603881836e+00
5.000000000000000000e+00 2.599999904632568359e+00 4.373235404491424561e+00 2.007010519504547119e+00 1.334184527397155762e+00
5.000000000000000000e+00 2.799999952316284180e+00 4.337155044078826904e+00 2.157576382160186768e+00 1.189033150672912598e+00
2.799999952316284180e+00 5.000000000000000000e+00 2.155880153179168701e+00 4.337595283985137939e+00 1.182172417640686035e+00
2.599999904632568359e+00 5.000000000000000000e+00 2.004657566547393799e+00 4.373763740062713623e+00 1.329077601432800293e+00
2.400000095367431641e+00 5.000000000000000000e+00 1.863231122493743896e+00 4.414059638977050781e+00 1.476408839225769043e+00
2.200000047683715820e+00 5.000000000000000000e+00 1.727958828210830688e+00 4.457680225372314453e+00 1.625195145606994629e+00
2.000000000000000000e+00 5.000000000000000000e+00 1.596968442201614380e+00 4.502916187047958374e+00 1.775173783302307129e+00
1.799999952316284180e+00 5.000000000000000000e+00 1.468229889869689941e+00 4.548858255147933960e+00 1.925446867942810059e+00
1.600000023841857910e+00 5.000000000000000000e+00 1.339317798614501953e+00 4.594544827938079834e+00 2.074617862701416016e+00
1.399999976158142090e+00 5.000000000000000000e+00 1.207291543483734131e+00 4.639075249433517456e+00 2.220748901367187500e+00
1.200000047683715820e+00 5.000000000000000000e+00 1.068852886557579041e+00 4.681504040956497192e+00 2.361219167709350586e+00
1.000000000000000000e+00 5.000000000000000000e+00 9.207337200641632080e-01 4.720796078443527222e+00 2.492603778839111328e+00
8.000000119209289551e-01 5.000000000000000000e+00 7.603138647973537445e-01 4.755783379077911377e+00 2.610641717910766602e+00
6.000000238418579102e-01 5.000000000000000000e+00 5.862552141770720482e-01 4.785149648785591125e+00 2.710360050201416016e+00
4.000000059604644775e-01 5.000000000000000000e+00 3.991751376306638122e-01 4.807532563805580139e+00 2.786656379699707031e+00
2.000000029802322388e-01 5.000000000000000000e+00 2.017353834817185998e-01 4.821674376726150513e+00 2.834743261337280273e+00
0.000000000000000000e+00 5.000000000000000000e+00 -1.420405227690935135e-03 4.826723024249076843e+00 2.851519107818603516e+00
-2.000000029802322388e-01 5.000000000000000000e+00 -2.047436702996492386e-01 4.822352364659309387e+00 2.836320161819458008e+00
-4.000000059604644775e-01 5.000000000000000000e+00 -4.026222396641969681e-01 4.808875113725662231e+00 2.789721250534057617e+00
-6.000000238418579102e-01 5.000000000000000000e+00 -5.903009781613945961e-01 4.787081480026245117e+00 2.714631557464599609e+00
-8.000000119209289551e-01 5.000000000000000000e+00 -7.650186643004417419e-01 4.758232146501541138e+00 2.615869998931884766e+00
-1.000000000000000000e+00 5.000000000000000000e+00 -9.261074960231781006e-01 4.723679482936859131e+00 2.498548746109008789e+00
-1.200000047683715820e+00 5.000000000000000000e+00 -1.074814543128013611e+00 4.684718132019042969e+00 2.367663383483886719e+00
-1.399999976158142090e+00 5.000000000000000000e+00 -1.213648140430450439e+00 4.642499536275863647e+00 2.227460622787475586e+00
-1.600000023841857910e+00 5.000000000000000000e+00 -1.345798730850219727e+00 4.598069638013839722e+00 2.081396102905273438e+00
-1.799999952316284180e+00 5.000000000000000000e+00 -1.474659562110900879e+00 4.552402049303054810e+00 1.932170510292053223e+00
-2.000000000000000000e+00 5.000000000000000000e+00 -1.603039503097534180e+00 4.506334751844406128e+00 1.781697511672973633e+00
-2.200000047683715820e+00 5.000000000000000000e+00 -1.733586430549621582e+00 4.460985422134399414e+00 1.631474614143371582e+00
-2.400000095367431641e+00 5.000000000000000000e+00 -1.868872404098510742e+00 4.417152523994445801e+00 1.482421755790710449e+00
-2.599999904632568359e+00 5.000000000000000000e+00 -2.009189069271087646e+00 4.376338064670562744e+00 1.335312485694885254e+00
-2.799999952316284180e+00 5.000000000000000000e+00 -2.159394025802612305e+00 4.339675486087799072e+00 1.190337300300598145e+00
-5.000000000000000000e+00 2.799999952316284180e+00 -4.339884340763092041e+00 2.157752335071563721e+00 1.183758378028869629e+00
-5.000000000000000000e+00 2.599999904632568359e+00 -4.376623690128326416e+00 2.006887137889862061e+00 1.330481767654418945e+00
